img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_clock-zero-shuuen-no-ichibyou-portable_485JapanFront.jpg,Clock Zero: Shuuen no Ichibyou Portable,PSP,Adventure,Idea Factory,Unknown,,0.04,,0.04,,,2011-10-13,
/games/boxart/full_trick-x-logic-season-2_3JapanFront.jpg,Trick x Logic: Season 2,PSP,Adventure,Sony Computer Entertainment,ChunSoft,,0.04,,0.04,,,2010-09-16,
/games/boxart/full_9140184PALFrontccc.jpg,Black Mirror 2,PC,Adventure,DTP Entertainment,Cranberry Production,,0.04,,,0.04,0.01,2009-09-25,
/games/boxart/997688ccc.jpg,Chicken Shoot,GBA,Adventure,Zoo Digital Publishing,Zuxxez,,0.04,0.03,,0.01,0.0,2005-09-23,
/games/boxart/full_2072954JapanFrontccc.jpg,Uta no Prince-Sama: Repeat Love,PSV,Adventure,Broccoli,Broccoli,,0.04,,0.04,,,2017-01-28,2018-09-22
/games/boxart/full_2314526JapanFrontccc.jpg,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,Adventure,5pb,5pb. Inc.,,0.04,,0.04,,,2016-10-27,2018-09-22
/games/boxart/full_corpse-party-book-of-shadows_672JapanFront.jpg,Corpse Party: Book of Shadows,PSP,Adventure,5pb,Team GrisGris,,0.04,,0.04,,,2011-09-01,
/games/boxart/full_9920360AmericaFrontccc.jpg,The Monkey King: The Legend Begins,Wii,Shooter,UFO Interactive,Starfish,,0.04,0.04,,,0.0,2008-05-27,
/games/boxart/full_2601159AmericaFrontccc.jpg,Metal Slug 4 & 5,XB,Shooter,SNK Playmore,BrezzaSoft,,0.04,0.03,,0.01,0.0,2005-08-21,
/games/boxart/full_duke-nukem-trilogy-critical-mass_414AmericaFront.jpg,Duke Nukem Trilogy: Critical Mass,DS,Shooter,Deep Silver,FrontLine Studios,,0.04,0.04,,0.0,0.0,2011-06-06,
/games/boxart/full_7058139AmericaFrontccc.jpg,Painkiller: Hell & Damnation,PS3,Shooter,Nordic Games,The Farm 51,,0.04,0.02,,0.02,0.01,2013-08-30,2019-04-25
/games/boxart/full_545109AmericaFrontccc.jpg,Raid: World War II,PS4,Shooter,505 Games,Lion Game Lion,,0.04,0.04,,,0.01,2017-10-10,2018-08-11
/games/boxart/7524377ccc.jpg,Doom,PC,Shooter,id Software,id Software,8.0,0.04,0.04,,0.0,0.0,1993-12-10,
/games/boxart/7053177ccc.jpg,Dark Arena,GBA,Shooter,Majesco,Graphic State,6.8,0.04,0.03,,0.01,0.0,2002-01-18,
/games/boxart/1637825ccc.jpg,Rogue Trooper,PS2,Shooter,Eidos Interactive,Rebellion Developments,,0.04,0.02,,0.02,0.01,2006-05-23,
/games/boxart/full_3708026AmericaFrontccc.jpg,Paws & Claws: Regal Resort,DS,Simulation,THQ,Independent Arts Software,,0.04,0.04,,,0.0,2010-07-13,
/games/boxart/9376711ccc.gif,Star Trek: Shattered Universe,XB,Simulation,TDK Mediactive,Starsphere Interactive,,0.04,0.03,,0.01,0.0,2004-01-14,
/games/boxart/full_7922299PALFrontccc.png,Bella Sara 2 - The Magic of Drasilmare,3DS,Simulation,Big Ben Interactive,EKO Software,,0.04,,,0.04,0.0,2013-11-22,2019-04-25
/games/boxart/full_igt-slots-lucky-larrys-lobstermania_640AmericaFront.jpg,IGT Slots: Lucky Larry's Lobstermania,PC,Simulation,Masque Publishing,Masque Publishing,,0.04,0.04,,,0.0,2011-08-22,
/games/boxart/9656304ccc.gif,GoPets: Vacation Island,DS,Simulation,Konami,1st Playable Productions,,0.04,0.03,,,0.0,2008-03-18,
/games/boxart/full_3440870AmericaFrontccc.jpg,The Movies,PC,Simulation,Lionhead Studios,Lionhead Studios,8.2,0.04,0.01,,0.03,0.0,2005-11-08,
